Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age,continent
Algeria,Under-five mortality rate,Male,2011,28.117073730982,,Deaths per 1000 live births,Normal value,,27.5756645122719,28.6823292458701,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2012,27.5220996506628,,Deaths per 1000 live births,Normal value,,26.9796883056174,28.0909288436105,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2013,27.0861857621691,,Deaths per 1000 live births,Normal value,,26.5192826585785,27.6620719454536,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2014,26.8458912166913,,Deaths per 1000 live births,Normal value,,26.2523382430278,27.4411030646567,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2015,26.5626533065482,,Deaths per 1000 live births,Normal value,,25.9434750035528,27.1821734684606,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2016,26.201548711541,,Deaths per 1000 live births,Normal value,,25.6223953706379,26.7921671699418,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2017,25.7610340936213,,Deaths per 1000 live births,Normal value,,25.1996631798143,26.3241185710006,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2018,25.2057290192857,,Deaths per 1000 live births,Normal value,,24.6154018540326,25.8041798159138,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Male,2019,24.6237330095045,,Deaths per 1000 live births,Normal value,,23.830353494604,25.4473813738725,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2000,39.6695693290046,,Deaths per 1000 live births,Normal value,,38.7873594820108,40.562822776599,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2001,38.8569491331619,,Deaths per 1000 live births,Normal value,,38.0652356723056,39.6561435411713,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2002,37.7918737925283,,Deaths per 1000 live births,Normal value,,37.0484884164033,38.5310730723446,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2003,36.5001699714513,,Deaths per 1000 live births,Normal value,,35.7804765662933,37.2180478486812,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2004,35.053750014464,,Deaths per 1000 live births,Normal value,,34.3896001265898,35.7391299669639,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2005,33.5682471987325,,Deaths per 1000 live births,Normal value,,32.9123119150363,34.2485823156408,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2006,32.1206310520747,,Deaths per 1000 live births,Normal value,,31.5384392359163,32.7552424649105,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2007,30.7594723332247,,Deaths per 1000 live births,Normal value,,30.1902858266874,31.3519230485732,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2008,29.5018647463813,,Deaths per 1000 live births,Normal value,,28.9412909244096,30.0774123613497,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2009,28.3818405407151,,Deaths per 1000 live births,Normal value,,27.8505739785455,28.9135346074913,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2010,27.4346116649558,,Deaths per 1000 live births,Normal value,,26.9054803181221,27.9688011360361,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2011,26.7063587536876,,Deaths per 1000 live births,Normal value,,26.1992276474826,27.2198105871241,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2012,26.1712746482888,,Deaths per 1000 live births,Normal value,,25.6766697285501,26.6834213606104,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2013,25.7844598321495,,Deaths per 1000 live births,Normal value,,25.2651165570673,26.3105239091877,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2014,25.4785601516411,,Deaths per 1000 live births,Normal value,,24.9446032430664,26.023294214708,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2015,25.1771420835274,,Deaths per 1000 live births,Normal value,,24.6134340452629,25.7460940680551,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2016,24.7920977884414,,Deaths per 1000 live births,Normal value,,24.2457654555333,25.3394846845026,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2017,24.3194820143572,,Deaths per 1000 live births,Normal value,,23.8019692998186,24.8438777999686,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2018,23.8059260394742,,Deaths per 1000 live births,Normal value,,23.2625922937848,24.3458204187176,,,,,,,,,,Total,Africa
Algeria,Under-five mortality rate,Total,2019,23.2561681158753,,Deaths per 1000 live births,Normal value,,22.5133795302874,24.0259459886904,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2000,192.2845009851,,Deaths per 1000 live births,Normal value,,168.424447826024,221.105473424346,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2001,186.371538699358,,Deaths per 1000 live births,Normal value,,162.510442294427,215.317078353618,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2002,179.819387057812,,Deaths per 1000 live births,Normal value,,155.7863948152,208.696672738383,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2003,172.419409757838,,Deaths per 1000 live births,Normal value,,148.4784735693,201.315978790938,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2004,164.189632322852,,Deaths per 1000 live births,Normal value,,139.984397157126,192.96669424875,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2005,155.439942918389,,Deaths per 1000 live births,Normal value,,130.445180050836,185.03537492186,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2006,146.478867899863,,Deaths per 1000 live births,Normal value,,119.724232618087,177.729866743569,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2007,137.487701829492,,Deaths per 1000 live births,Normal value,,109.113330503204,171.212250593395,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2008,128.588266310275,,Deaths per 1000 live births,Normal value,,98.2972129857928,165.802305970803,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2009,120.026794264256,,Deaths per 1000 live births,Normal value,,87.9825379262055,160.357014353745,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2010,112.092410403698,,Deaths per 1000 live births,Normal value,,77.8152198778037,155.620648670062,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2011,104.529920691199,,Deaths per 1000 live births,Normal value,,68.5499148286254,151.28909801203,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2012,97.6173341657699,,Deaths per 1000 live births,Normal value,,60.1134789785221,147.569144039045,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2013,91.4093159858242,,Deaths per 1000 live births,Normal value,,53.2548458693576,144.319482998891,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2014,85.9629260348019,,Deaths per 1000 live births,Normal value,,47.831473720571,140.906024262248,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2015,81.4755534795906,,Deaths per 1000 live births,Normal value,,43.0351216110765,137.805626432265,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2016,77.8083228515239,,Deaths per 1000 live births,Normal value,,39.2955712798508,134.728334625344,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2017,74.531142471313,,Deaths per 1000 live births,Normal value,,36.5678686158834,132.180731256171,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2018,71.4001683138458,,Deaths per 1000 live births,Normal value,,33.8298900581359,130.262551703214,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Female,2019,68.7266298524796,,Deaths per 1000 live births,Normal value,,31.7441333242852,128.292820339752,,,,,,,,,,Total,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2007,18.0,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,,,,Under 5 years old,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2011,26.4,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,,,,Under 5 years old,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2016,22.2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,,,,Under 5 years old,Africa
Angola,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2007,22.0,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2006-2007,,,,,,15 to 49 years old,Africa
Angola,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2011,25.6,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,,,,15 to 49 years old,Africa
Angola,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2016,23.0,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,,,,15 to 49 years old,Africa
Angola,Under-five mortality rate,Male,2000,214.944421504271,,Deaths per 1000 live births,Normal value,,188.02643937889,246.613057433922,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2001,208.644323097183,,Deaths per 1000 live births,Normal value,,181.869759455093,241.021376587401,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2002,201.327271040268,,Deaths per 1000 live births,Normal value,,174.596308595259,233.79837516913,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2003,193.317387936319,,Deaths per 1000 live births,Normal value,,166.207203672347,225.359278341146,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2004,184.644152817119,,Deaths per 1000 live births,Normal value,,156.763319385955,216.638821622734,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2005,175.051103044442,,Deaths per 1000 live births,Normal value,,146.594137481207,208.595096594268,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2006,165.307802472294,,Deaths per 1000 live births,Normal value,,135.493825498237,201.210233340803,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2007,155.646616544733,,Deaths per 1000 live births,Normal value,,123.836272145425,194.09314509631,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2008,145.903966703044,,Deaths per 1000 live births,Normal value,,111.471356872499,188.112651138494,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2009,136.574814215256,,Deaths per 1000 live births,Normal value,,99.7534880482543,182.548530408057,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2010,127.742050601331,,Deaths per 1000 live births,Normal value,,88.5950960990803,178.357009405905,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2011,119.815654310493,,Deaths per 1000 live births,Normal value,,78.3591235076086,174.314153054765,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2012,112.131345148905,,Deaths per 1000 live births,Normal value,,68.9260611610956,170.828164692955,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2013,105.368501700496,,Deaths per 1000 live births,Normal value,,61.0726512385697,167.071822357777,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2014,99.628829302966,,Deaths per 1000 live births,Normal value,,55.1266473577527,163.613477913149,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2015,94.7002857938122,,Deaths per 1000 live births,Normal value,,50.0096647585569,160.393235953454,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2016,90.4032912331987,,Deaths per 1000 live births,Normal value,,45.8318771312658,157.457173137986,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2017,86.6682694702448,,Deaths per 1000 live births,Normal value,,42.7111632169841,154.1766917312,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2018,83.5209526346075,,Deaths per 1000 live births,Normal value,,39.5990794934093,151.970948904225,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Male,2019,80.4362123562242,,Deaths per 1000 live births,Normal value,,37.156923808328,149.899343682417,,,,,,,,,,Total,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2007,18.0,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,,,,Under 5 years old,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2011,25.4,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,,,,Under 5 years old,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2016,21.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,,,,Under 5 years old,Africa
Angola,Under-five mortality rate,Total,2000,203.866353294263,,Deaths per 1000 live births,Normal value,,178.578826769409,233.726280962645,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2001,197.782138567781,,Deaths per 1000 live births,Normal value,,172.6512280492,228.216047439599,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2002,190.914173123863,,Deaths per 1000 live births,Normal value,,165.95440437602,221.40493975961,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2003,183.240136122022,,Deaths per 1000 live births,Normal value,,157.737422973766,213.35369631191,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2004,174.607784965892,,Deaths per 1000 live births,Normal value,,148.739838289649,204.894039769534,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2005,165.558416730835,,Deaths per 1000 live births,Normal value,,138.95842982857,196.728442246201,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2006,156.152760460598,,Deaths per 1000 live births,Normal value,,127.997556733123,189.459227504798,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2007,146.807266758534,,Deaths per 1000 live births,Normal value,,116.875899926408,183.012043713905,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2008,137.379319107209,,Deaths per 1000 live births,Normal value,,105.454434369357,177.134200674751,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2009,128.577995248051,,Deaths per 1000 live births,Normal value,,94.1551208030728,171.391423590471,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2010,120.267356169637,,Deaths per 1000 live births,Normal value,,83.3470744168,166.806462548114,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2011,112.30360928865,,Deaths per 1000 live births,Normal value,,73.5177167904387,162.949014038688,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2012,105.005294530333,,Deaths per 1000 live births,Normal value,,64.7764830289486,159.14668383281,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2013,98.6172421846386,,Deaths per 1000 live births,Normal value,,57.2319851872875,156.102959976844,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2014,92.9947921999517,,Deaths per 1000 live births,Normal value,,51.5785922535538,152.523390332808,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2015,88.2014909930603,,Deaths per 1000 live births,Normal value,,46.5811898246061,149.571259903504,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2016,84.2118942703851,,Deaths per 1000 live births,Normal value,,42.5615794372925,146.448194758172,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2017,80.6223021438621,,Deaths per 1000 live births,Normal value,,39.7417272716043,143.734285239061,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2018,77.6723204407934,,Deaths per 1000 live births,Normal value,,36.917966406959,141.097153101406,,,,,,,,,,Total,Africa
Angola,Under-five mortality rate,Total,2019,74.6867100621452,,Deaths per 1000 live births,Normal value,,34.5501893755812,139.323654001037,,,,,,,,,,Total,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2007,18.0,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,,,,Under 5 years old,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2011,25.9,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,,,,Under 5 years old,Africa
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2016,21.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,,,,Under 5 years old,Africa
Angola,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2007,28.0,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,,,,Total,Africa
Angola,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2011,34.5,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,,,,Total,Africa
Angola,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2016,30.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2000,132.237069613265,,Deaths per 1000 live births,Normal value,,123.945428777472,141.363749803887,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2001,128.71980845747,,Deaths per 1000 live births,Normal value,,120.612844911398,137.593709475849,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2002,125.426339335471,,Deaths per 1000 live births,Normal value,,117.360000990244,134.03611443011,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2003,122.25527366816,,Deaths per 1000 live births,Normal value,,114.254022100577,130.847302585551,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2004,119.210775309612,,Deaths per 1000 live births,Normal value,,111.102097984271,127.854019320776,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2005,116.333343909439,,Deaths per 1000 live births,Normal value,,108.215544051945,124.882201521922,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2006,113.611598496162,,Deaths per 1000 live births,Normal value,,105.520348986307,122.262899825046,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2007,111.101441408509,,Deaths per 1000 live births,Normal value,,102.929242707276,119.818296203741,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2008,108.681486488277,,Deaths per 1000 live births,Normal value,,100.494655532705,117.558693131184,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2009,106.399246002084,,Deaths per 1000 live births,Normal value,,98.06513498463,115.337091341219,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2010,104.141864891727,,Deaths per 1000 live births,Normal value,,95.7447945022396,113.209292928992,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2011,101.867203759299,,Deaths per 1000 live births,Normal value,,93.3740238094852,111.206601728968,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2012,99.6740245158883,,Deaths per 1000 live births,Normal value,,91.0438289167243,109.084912055697,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2013,97.4948520892746,,Deaths per 1000 live births,Normal value,,88.6235916638178,107.15382664862,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2014,95.2578627935933,,Deaths per 1000 live births,Normal value,,86.258357095872,105.159123274174,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2015,93.0429186861421,,Deaths per 1000 live births,Normal value,,83.7116562868166,103.298431364101,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2016,90.962581368503,,Deaths per 1000 live births,Normal value,,81.2824781805885,101.794511445433,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2017,88.8140926528215,,Deaths per 1000 live births,Normal value,,78.6154781420517,99.9794049219279,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2018,86.560205744397,,Deaths per 1000 live births,Normal value,,75.5789564620966,98.7298791818622,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Female,2019,84.1832635400841,,Deaths per 1000 live births,Normal value,,72.0478773737611,97.9259098982943,,,,,,,,,,Total,Africa
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2001,7.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2001,,,,,,Under 5 years old,Africa
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2006,20.0,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006,,,,,,Under 5 years old,Africa
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2012,69.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011-2012,,,,,,Under 5 years old,Africa
Benin,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2018,76.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,,,,Under 5 years old,Africa
Benin,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2006,19.6,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2006,,,,,,15 to 49 years old,Africa
Benin,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2012,74.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2011-2012,,,,,,15 to 49 years old,Africa
Benin,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2014,47.0,Units,%,Reported,Free,,,,,,Multiple Indicator Cluster Survey 2014,,,,,,15 to 49 years old,Africa
Benin,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2018,73.5,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,,,,15 to 49 years old,Africa
Benin,Under-five mortality rate,Male,2000,145.114860405804,,Deaths per 1000 live births,Normal value,,136.003783336937,154.839214570944,,,,,,,,,,Total,Africa
Benin,Under-five mortality rate,Male,2001,141.874599913121,,Deaths per 1000 live births,Normal value,,132.689268537089,151.310793999239,,,,,,,,,,Total,Africa
